tx_id,tx_time,amount,channel,merchant_category,home_country,merchant_country,is_foreign,high_risk_country,same_country,card_present,hour_of_day,day_of_week,customer_id,merchant_id,customer_age,tenure_months,past_chargebacks,vip_customer,ip_risk_score,device_trust_score,txns_last_24h,amount_last_24h,is_fraud
TXQJQMXUJ0EEC7V6,2024-01-14 23:41:05,65.21,pos,gaming,DE,ES,1,0,0,1,23,6,C100282,M34433,82,25,0,0,56.0,52.0,1,0.0,0
TX5HZ5RNTEKGHFNK,2024-03-24 02:12:32,9.8,pos,grocery,FR,PL,1,0,0,1,2,6,C563124,M72426,59,132,0,0,34.0,58.0,0,0.0,0
TXVEK0G1W1NHSCU8,2024-02-10 18:13:46,14.78,pos,electronics,UK,FR,1,0,0,1,18,5,C422242,M52920,49,65,0,0,38.0,56.0,6,28.54,0
TXHYWWULZNF079HX,2024-03-08 18:48:34,110.33,pos,electronics,ES,IN,1,0,0,1,18,4,C152430,M71242,75,61,0,0,8.0,56.0,0,0.0,0
TXNJNUXB0BCSIVN2,2024-03-10 07:00:44,6.91,pos,grocery,NL,IN,1,0,0,1,7,6,C375273,M62038,75,165,0,0,16.0,53.0,0,0.0,0
TX8B6LQKKW8UO7UF,2024-03-02 06:47:07,13.85,ecommerce,grocery,FR,CN,1,1,0,0,6,5,C302722,M13333,48,93,0,0,51.0,49.0,1,6.47,0
TX6C3RVLNNHV5C9D,2024-02-25 00:47:41,16.65,ecommerce,fashion,DE,CN,1,1,0,0,0,6,C243885,M33335,62,76,0,0,30.0,43.0,1,13.0,0
TXKRQ2N4H67HIRBC,2024-02-18 04:07:15,27.72,mobile,digital_services,FR,ES,1,0,0,0,4,6,C481598,M31966,30,59,0,0,16.0,63.0,0,0.0,0
TXQJ051TJGDVO222,2024-03-28 05:48:31,23.64,pos,gaming,ES,CN,1,1,0,1,5,3,C329937,M52244,66,3,0,0,53.0,31.0,1,23.71,0
TX80C5B8OE4ARI1E,2024-03-06 00:48:26,12.89,pos,gaming,UK,NG,1,1,0,1,0,2,C762486,M72939,56,56,0,0,64.0,51.0,0,0.0,0
TXHR2QA6A7G57PFY,2024-02-28 14:36:21,82.9,ecommerce,restaurants,DE,NL,1,0,0,0,14,2,C995374,M41849,29,140,0,0,49.0,45.0,0,0.0,0
TXSR93CM0SILGRCM,2024-01-07 00:58:04,82.69,pos,fuel,ES,ES,0,0,1,1,0,6,C465931,M75807,18,130,0,0,34.0,89.0,1,1.48,0
TX2HGVHECI80NZ99,2024-01-28 20:21:32,9.13,pos,restaurants,PL,NL,1,0,0,1,20,6,C561293,M30984,81,109,0,0,40.0,53.0,0,0.0,0
TXEI6Y1HHIH6LU9Q,2024-03-18 09:06:15,8.64,pos,travel,UK,CN,1,1,0,1,9,0,C931859,M26461,24,57,0,0,34.0,65.0,2,16.88,0
TX20ZZIY50U337VW,2024-01-05 00:44:17,7.05,mobile,electronics,UK,NG,1,1,0,0,0,4,C148984,M21845,84,46,0,0,39.0,80.0,1,59.23,1
TXALFB1CGWTPLSGL,2024-01-05 16:54:02,68.94,ecommerce,travel,FR,UK,1,0,0,0,16,4,C363092,M63887,54,102,0,0,30.0,36.0,1,1.05,0
TXSNZL6K15CU6RBR,2024-02-11 20:21:16,10.58,ecommerce,travel,DE,NG,1,1,0,0,20,6,C312226,M86242,71,173,0,0,34.0,56.0,0,0.0,0
TXYH19VOQXCMWXAK,2024-01-02 05:40:21,8.8,pos,travel,DE,ES,1,0,0,1,5,1,C103366,M75853,19,166,0,0,32.0,83.0,0,0.0,0
TX1C60KEHW6BTGF8,2024-01-10 08:10:10,9.9,pos,fashion,ES,NL,1,0,0,1,8,2,C195911,M81910,67,95,0,0,30.0,55.0,1,13.4,0
TXX5WMJ2H2UBHD51,2024-02-23 11:45:54,46.7,ecommerce,travel,FR,IN,1,0,0,0,11,4,C756336,M41188,52,173,0,0,29.0,43.0,0,0.0,0
TX2P9WI4KXHVWFBJ,2024-01-14 14:30:13,105.57,ecommerce,gaming,PL,NL,1,0,0,0,14,6,C472490,M77225,28,121,0,0,38.0,58.0,0,0.0,0
TX28ORRY4US8DCYV,2024-02-05 17:12:27,12.47,pos,grocery,DE,IN,1,0,0,1,17,0,C616577,M83124,24,44,0,0,30.0,49.0,0,0.0,0
TX1LUWLI6PPZ7AU1,2024-02-18 21:16:59,3.25,pos,fuel,FR,UK,1,0,0,1,21,6,C730369,M94857,30,111,0,0,30.0,45.0,0,0.0,0
TXHXDSKXILPJCEOB,2024-02-02 01:54:30,14.11,pos,fashion,PL,NG,1,1,0,1,1,4,C625442,M94191,68,89,0,0,34.0,47.0,1,36.26,0
TXKRVD6ENSLIEC9A,2024-02-22 16:59:06,12.86,ecommerce,restaurants,PL,ES,1,0,0,0,16,3,C788838,M81869,25,105,0,0,44.0,35.0,1,17.76,0
TXPPKT63Z2ZW5V3Q,2024-03-07 21:00:49,24.24,pos,travel,PL,UK,1,0,0,1,21,3,C306724,M49513,52,136,0,0,27.0,36.0,0,0.0,0
TXDZQ2VZILCWFIVI,2024-02-02 23:57:24,40.86,ecommerce,restaurants,NL,NL,0,0,1,0,23,4,C185791,M50846,72,6,0,0,0.0,52.0,0,0.0,0
TXB141S2MXN98X61,2024-03-28 00:40:15,52.34,pos,digital_services,DE,US,1,0,0,1,0,3,C858538,M49980,41,17,0,0,29.0,61.0,0,0.0,0
TXFSM7AVTKTMGLZO,2024-03-23 14:59:37,32.15,pos,travel,NL,FR,1,0,0,1,14,5,C348705,M92050,59,38,0,1,33.0,59.0,0,0.0,0
TXCSEF0QOJ9JPVYI,2024-01-04 18:12:50,10.35,ecommerce,restaurants,ES,NL,1,0,0,0,18,3,C550884,M73023,61,116,0,0,17.0,49.0,0,0.0,0
TXQGIKK84VTFWB5N,2024-01-04 20:21:42,66.02,pos,restaurants,FR,UK,1,0,0,1,20,3,C755998,M30235,80,31,0,0,39.0,78.0,1,9.39,0
TXUBOIGSX6AXER78,2024-03-28 12:02:26,12.62,pos,restaurants,NL,UK,1,0,0,1,12,3,C526886,M27861,28,11,0,0,34.0,38.0,0,0.0,0
TXFJ0330CLGFEY1C,2024-03-08 18:47:36,3.0,ecommerce,electronics,ES,FR,1,0,0,0,18,4,C683516,M42848,57,21,1,0,11.0,39.0,1,0.0,0
TXH56T8PVBF7BUP7,2024-03-24 06:19:54,66.53,ecommerce,fashion,PL,UK,1,0,0,0,6,6,C752664,M91351,62,56,0,0,30.0,62.0,0,0.0,0
TXR27RESXO60BT0W,2024-01-19 23:04:13,2.46,mobile,fuel,FR,UK,1,0,0,0,23,4,C848000,M90537,41,100,0,0,51.0,62.0,0,0.0,0
TXDH2IYU5FGNE752,2024-03-29 04:34:25,57.62,pos,grocery,FR,UK,1,0,0,1,4,4,C436458,M75793,43,12,0,0,31.0,80.0,0,0.0,0
TXKLJ630V6LH3O0P,2024-02-03 13:09:28,28.68,pos,digital_services,UK,PL,1,0,0,1,13,5,C787999,M16661,25,161,0,0,43.0,64.0,0,0.0,0
TX1T537NW8B2BF72,2024-03-16 00:23:59,51.44,ecommerce,restaurants,ES,FR,1,0,0,0,0,5,C752023,M10660,19,14,0,0,30.0,38.0,0,0.0,0
TX7XOV3IX5NV51ZC,2024-01-18 21:08:04,4.61,ecommerce,digital_services,NL,FR,1,0,0,0,21,3,C872280,M19037,25,106,0,0,25.0,25.0,3,23.31,0
TXTZE8JU6FNOV1OP,2024-01-18 07:41:55,46.84,pos,grocery,DE,NG,1,1,0,1,7,3,C403252,M15267,20,113,0,0,52.0,58.0,0,0.0,0
TXANYJ6EHEDAVMWT,2024-02-13 01:58:37,17.09,pos,electronics,DE,UK,1,0,0,1,1,1,C200360,M68189,53,66,0,0,40.0,73.0,0,0.0,0
TXNNINV82BPIW4C4,2024-02-29 18:42:09,40.49,ecommerce,travel,FR,DE,1,0,0,0,18,3,C289730,M66841,42,171,0,0,33.0,39.0,0,0.0,0
TXVU9TJVPOXZRPPB,2024-03-14 20:12:26,12.57,pos,electronics,NL,DE,1,0,0,1,20,3,C363579,M25524,79,74,0,0,47.0,58.0,0,0.0,0
TX2DDQHNOLLVGSES,2024-03-07 00:13:46,34.24,ecommerce,gaming,UK,UK,0,0,1,0,0,3,C463965,M76824,63,71,0,0,17.0,50.0,0,0.0,0
TX737S0YBWFXSQLW,2024-02-17 05:35:24,6.68,ecommerce,grocery,FR,NG,1,1,0,0,5,5,C609625,M24101,22,37,1,0,31.0,46.0,1,4.65,0
TXL5TKKVOMHGHG43,2024-01-20 13:51:11,11.16,ecommerce,fashion,NL,CN,1,1,0,0,13,5,C881944,M53212,55,112,0,0,41.0,34.0,0,0.0,0
TXQA3GK0R7TCGCI8,2024-01-10 10:41:35,65.89,pos,gaming,FR,IN,1,0,0,1,10,2,C877373,M24132,52,163,0,0,44.0,53.0,0,0.0,0
TXMAXJ03MH0FP53I,2024-02-05 02:20:54,21.37,ecommerce,restaurants,FR,DE,1,0,0,0,2,0,C937162,M29447,29,45,0,0,32.0,40.0,0,0.0,0
TXNMY5LZOQIO23P2,2024-02-09 06:18:07,103.13,pos,gaming,FR,UK,1,0,0,1,6,4,C640011,M16227,60,42,0,0,45.0,44.0,10,46.19,0
TX3BZU246IUGWOZG,2024-03-09 07:40:09,12.89,pos,gaming,PL,US,1,0,0,1,7,5,C891035,M66911,24,26,0,0,59.0,59.0,0,0.0,0
TXIBMRYCKTCCK7XH,2024-02-18 21:16:05,4.12,ecommerce,restaurants,NL,DE,1,0,0,0,21,6,C107692,M58538,20,107,0,1,36.0,43.0,0,0.0,0
TXOLJ5AJ964PAIZL,2024-03-17 22:29:31,14.43,ecommerce,digital_services,DE,DE,0,0,1,0,22,6,C148397,M95332,53,21,0,0,19.0,52.0,0,0.0,0
TX9ONJK721T64FVR,2024-02-13 03:43:49,113.41,pos,fashion,UK,IN,1,0,0,1,3,1,C841520,M20466,57,71,0,0,50.0,75.0,3,33.3,0
TXYCB23QER608634,2024-03-04 06:34:01,39.74,pos,gaming,PL,FR,1,0,0,1,6,0,C226142,M90723,55,113,0,0,23.0,59.0,1,65.66,1
TX9K1M9I5302AM9N,2024-01-13 12:35:23,33.71,pos,fuel,NL,UK,1,0,0,1,12,5,C813493,M52212,36,0,0,0,41.0,65.0,1,39.79,0
TXXGH92YAQ4WPJT9,2024-03-26 23:13:15,23.51,pos,fuel,PL,CN,1,1,0,1,23,1,C230484,M67948,78,81,0,0,48.0,54.0,0,0.0,0
TX00MZY2ZS22SBAV,2024-03-22 09:56:25,8.57,ecommerce,restaurants,UK,IN,1,0,0,0,9,4,C213328,M33983,83,56,0,0,30.0,34.0,3,12.98,0
TXN1KH6U1I3KZGIE,2024-03-11 00:23:30,34.31,ecommerce,fuel,PL,NL,1,0,0,0,0,0,C763022,M46934,45,171,1,0,31.0,51.0,0,0.0,0
TXKXO375M8NWJ4LO,2024-03-13 01:43:46,5.48,pos,fuel,PL,ES,1,0,0,1,1,2,C131661,M39524,28,147,0,0,36.0,64.0,1,18.34,0
TXS190I4G97P8CHJ,2024-01-21 23:14:17,10.51,pos,fuel,FR,PL,1,0,0,1,23,6,C473366,M94602,37,166,0,1,30.0,36.0,0,0.0,0
TX7D8Q1Z646OCHM4,2024-03-29 18:45:55,22.52,pos,fuel,ES,ES,0,0,1,1,18,4,C435283,M68416,25,145,0,0,36.0,86.0,1,16.77,0
TX6VVIBBFYKFS60L,2024-02-06 06:29:59,36.27,pos,gaming,DE,ES,1,0,0,1,6,1,C778628,M86251,81,169,0,0,24.0,84.0,9,15.57,0
TXZISDYAY45PPJL7,2024-01-17 19:27:55,18.23,pos,fuel,UK,CN,1,1,0,1,19,2,C424322,M62548,36,79,0,0,53.0,56.0,0,0.0,0
TX2TJ1BFCZCMMOLJ,2024-01-12 12:20:38,42.05,pos,gaming,NL,CN,1,1,0,1,12,4,C760329,M16655,73,76,0,0,55.0,59.0,8,292.59,0
TXT90TKPW2RRC3FZ,2024-03-01 08:09:55,34.12,mobile,electronics,DE,NG,1,1,0,0,8,4,C760179,M93102,80,72,0,0,38.0,49.0,0,0.0,0
TX3U96P3GIK7H8II,2024-02-22 12:23:01,5.0,mobile,gaming,FR,FR,0,0,1,0,12,3,C909488,M48089,73,37,0,0,35.0,91.0,0,0.0,0
TXWXW6OX11WEO7VN,2024-01-03 03:18:13,22.71,mobile,digital_services,PL,US,1,0,0,0,3,2,C524380,M49204,56,135,0,0,45.0,59.0,1,1.5,0
TXIW53VXM6I90WYD,2024-01-08 03:58:30,19.11,ecommerce,grocery,DE,PL,1,0,0,0,3,0,C340245,M96022,19,26,0,0,29.0,43.0,0,0.0,0
TX3R48W4BE05MTCU,2024-01-20 07:40:02,2.71,pos,electronics,UK,NL,1,0,0,1,7,5,C938533,M26432,59,143,0,0,49.0,53.0,0,0.0,0
TX9OUGRK0L2W76QD,2024-02-05 07:54:38,79.99,pos,restaurants,UK,PL,1,0,0,1,7,0,C902171,M76814,49,109,0,0,52.0,42.0,1,24.44,0
TXEVS6JIBEKELVF0,2024-01-11 21:57:42,25.91,pos,fuel,FR,ES,1,0,0,1,21,3,C747584,M25474,27,176,0,0,42.0,65.0,0,0.0,0
TXU86007JP40WF0X,2024-03-02 10:13:14,94.18,ecommerce,gaming,DE,IN,1,0,0,0,10,5,C906141,M72342,83,109,0,0,47.0,28.0,1,8.43,0
TXQI729BCNPATQ1V,2024-01-04 22:07:20,35.28,ecommerce,fashion,NL,ES,1,0,0,0,22,3,C776329,M96319,61,47,0,0,34.0,39.0,1,12.23,0
TXGDZEMFW6RA97JE,2024-02-22 03:18:20,12.37,pos,grocery,PL,IN,1,0,0,1,3,3,C183578,M65084,45,31,0,1,48.0,69.0,0,0.0,0
TXP0OHUVRKAZE0M6,2024-01-16 10:13:33,18.24,pos,restaurants,NL,DE,1,0,0,1,10,1,C229506,M87231,23,12,0,0,25.0,68.0,1,42.51,0
TX3KBJUEWKDJX2CS,2024-02-18 08:07:17,39.9,ecommerce,grocery,FR,DE,1,0,0,0,8,6,C902834,M50894,69,36,0,0,27.0,18.0,0,0.0,0
TX5NJQQ70W5O0ZFD,2024-03-11 01:25:55,12.5,pos,fuel,PL,ES,1,0,0,1,1,0,C146107,M52292,20,135,0,0,45.0,59.0,0,0.0,0
TX58CVJNDRE0QK61,2024-03-09 05:31:34,5.76,pos,restaurants,PL,NL,1,0,0,1,5,5,C416330,M50318,43,124,0,0,25.0,58.0,1,36.95,0
TXQWQDW2S59OPFZC,2024-02-16 04:48:21,3.68,mobile,travel,PL,DE,1,0,0,0,4,4,C320663,M39730,25,24,0,0,22.0,66.0,3,40.18,0
TXDRPBEFNYDMFPU7,2024-01-18 14:03:36,6.03,pos,grocery,ES,UK,1,0,0,1,14,3,C445729,M98570,81,161,0,0,24.0,46.0,0,0.0,0
TX15IO4EXMLXJDNA,2024-01-11 01:59:26,14.95,pos,fuel,NL,NL,0,0,1,1,1,3,C929424,M20175,73,70,0,0,19.0,62.0,0,0.0,0
TXJTJGAYNHV6G421,2024-03-26 11:46:48,6.91,ecommerce,travel,DE,NL,1,0,0,0,11,1,C486010,M93439,61,48,0,0,32.0,45.0,0,0.0,0
TXAHN7FGVO9142B4,2024-01-14 20:18:05,4.29,pos,travel,DE,DE,0,0,1,1,20,6,C321370,M63900,48,45,0,0,24.0,69.0,0,0.0,0
TXBAGWFCCLVT2YZP,2024-03-04 14:51:33,23.08,pos,grocery,FR,US,1,0,0,1,14,0,C522968,M46371,47,169,0,0,34.0,55.0,0,0.0,0
TX22YCLZINNW7PXC,2024-03-04 00:33:26,8.59,pos,restaurants,FR,ES,1,0,0,1,0,0,C926975,M67073,31,42,0,1,30.0,68.0,0,0.0,0
TXG9S1IGHYX1ZIE1,2024-01-13 04:31:51,10.49,ecommerce,grocery,NL,US,1,0,0,0,4,5,C626813,M41055,81,11,0,0,43.0,46.0,0,0.0,0
TXC6LUMW88GOUAYG,2024-02-15 04:54:32,15.53,pos,travel,DE,IN,1,0,0,1,4,3,C330660,M81344,50,156,0,0,21.0,52.0,0,0.0,0
TXXTL4WZ97OVQF49,2024-01-03 05:30:07,97.69,ecommerce,digital_services,NL,US,1,0,0,0,5,2,C169643,M48638,30,133,0,1,49.0,54.0,0,0.0,0
TX3SEZJZVN8BY09G,2024-02-24 06:49:43,18.75,ecommerce,fuel,FR,FR,0,0,1,0,6,5,C674564,M24774,43,79,0,1,32.0,71.0,0,0.0,0
TXDSGCX7XKH64YTR,2024-03-05 04:09:03,6.42,ecommerce,fuel,UK,CN,1,1,0,0,4,1,C223037,M68476,69,73,0,0,42.0,39.0,2,13.28,0
TXV2AODPK24LJ433,2024-02-27 09:35:07,205.29,mobile,travel,NL,IN,1,0,0,0,9,1,C865577,M60385,36,169,1,1,15.0,53.0,1,22.5,0
TX5SKBCC5IFYM0TH,2024-03-23 00:26:22,42.19,pos,grocery,ES,DE,1,0,0,1,0,5,C143721,M86220,55,94,0,0,44.0,63.0,1,31.84,0
TXM8F2WFVOFQFSEW,2024-02-26 07:14:00,67.9,ecommerce,fuel,DE,US,1,0,0,0,7,0,C847421,M28593,58,178,0,0,46.0,25.0,2,149.01,0
TXHPD5EIWCTMH1GM,2024-03-05 04:42:09,34.45,pos,grocery,NL,UK,1,0,0,1,4,1,C775414,M72816,58,172,0,0,38.0,46.0,0,0.0,0
TX2FJ3K9K211JS76,2024-01-12 01:42:58,33.33,ecommerce,fashion,NL,DE,1,0,0,0,1,4,C755158,M93002,44,89,0,1,54.0,32.0,0,0.0,0
TX9GA19XHE63S87A,2024-03-03 10:30:02,42.84,mobile,digital_services,FR,ES,1,0,0,0,10,6,C396267,M11831,75,168,0,0,65.0,61.0,0,0.0,0
TXN039P9QPFJTN2V,2024-01-30 01:28:54,43.27,pos,gaming,PL,DE,1,0,0,1,1,1,C861700,M31415,71,92,0,0,28.0,73.0,1,19.08,0
TXEVDOGWTD6TFISQ,2024-01-08 22:01:02,24.3,pos,digital_services,DE,IN,1,0,0,1,22,0,C411918,M74175,55,14,0,1,36.0,77.0,0,0.0,0
TX26GH3XGNHWCBBS,2024-02-28 21:09:39,57.39,ecommerce,restaurants,FR,UK,1,0,0,0,21,2,C628968,M46031,63,98,0,0,35.0,33.0,0,0.0,0
TX1L7UMC4W8DP7WG,2024-01-23 14:14:01,27.64,pos,fashion,DE,NL,1,0,0,1,14,1,C505217,M64234,35,65,0,0,31.0,49.0,0,0.0,0
TX0AW9M283FA4XBM,2024-03-22 07:48:52,11.99,mobile,fuel,PL,ES,1,0,0,0,7,4,C963792,M81192,53,49,0,0,41.0,56.0,0,0.0,0
TXWEXMOS5JK6QFTF,2024-01-18 05:36:11,16.09,pos,travel,DE,US,1,0,0,1,5,3,C104529,M94802,61,34,0,0,46.0,61.0,0,0.0,0
TXAV0NT2MTZP4UUB,2024-03-08 09:44:50,31.82,ecommerce,restaurants,ES,PL,1,0,0,0,9,4,C953958,M97509,66,25,0,0,9.0,42.0,0,0.0,0
TX2FS4U7KAWIAC7P,2024-02-22 16:25:16,9.61,ecommerce,grocery,NL,PL,1,0,0,0,16,3,C864150,M90774,79,133,0,0,30.0,45.0,0,0.0,0
TXN708NC8CS82Q8W,2024-03-19 02:27:17,18.06,mobile,restaurants,PL,CN,1,1,0,0,2,1,C622200,M88883,63,77,0,1,53.0,80.0,0,0.0,0
TXO0T5SVR6BNRVWO,2024-02-14 21:53:48,12.35,ecommerce,gaming,FR,FR,0,0,1,0,21,2,C108388,M91498,55,90,0,0,29.0,70.0,1,13.37,0
TXG5GQ9XU6GBLXUB,2024-01-07 12:20:22,20.21,pos,fashion,ES,US,1,0,0,1,12,6,C494043,M61015,80,27,0,0,25.0,62.0,0,0.0,0
TX5BUS5XRBAMXMPS,2024-03-17 23:51:45,56.08,ecommerce,fashion,DE,NG,1,1,0,0,23,6,C366801,M15333,29,104,1,0,40.0,40.0,0,0.0,0
TXF7NBQR82WFQUPF,2024-02-28 04:57:32,10.03,ecommerce,gaming,NL,UK,1,0,0,0,4,2,C194154,M24293,26,69,0,0,21.0,46.0,0,0.0,0
TX83I4DHQGAY879G,2024-01-18 21:43:52,36.73,pos,travel,FR,US,1,0,0,1,21,3,C136626,M49647,44,4,0,0,64.0,75.0,2,27.65,0
TX5ZMAAFTX2X8PAF,2024-02-23 22:23:48,38.98,ecommerce,gaming,PL,IN,1,0,0,0,22,4,C533431,M77410,73,27,0,0,44.0,47.0,0,0.0,0
TXLK35D9IIUW7VZF,2024-01-09 08:54:13,38.96,pos,gaming,ES,NL,1,0,0,1,8,1,C698746,M13623,18,6,0,0,37.0,53.0,0,0.0,0
TXCKFUK60T6US4JP,2024-03-29 21:31:12,110.61,mobile,fuel,ES,UK,1,0,0,0,21,4,C753764,M95480,69,137,0,0,45.0,45.0,0,0.0,0
TXIOIKB7V2E2Y04N,2024-03-16 09:53:12,13.63,pos,electronics,DE,IN,1,0,0,1,9,5,C390104,M31375,57,152,1,0,52.0,61.0,1,2.03,0
TX0QXC6W1B08RJ5C,2024-01-25 09:11:31,56.91,ecommerce,gaming,ES,IN,1,0,0,0,9,3,C982694,M47149,64,103,0,0,36.0,29.0,0,0.0,0
TXJCUJKRF0M4U4YS,2024-01-06 10:44:30,35.0,ecommerce,gaming,NL,DE,1,0,0,0,10,5,C409312,M20502,63,134,0,0,36.0,21.0,0,0.0,0
TXX0JSA04537JN81,2024-02-03 20:14:43,323.64,ecommerce,digital_services,NL,ES,1,0,0,0,20,5,C337194,M16635,23,44,0,0,24.0,38.0,1,29.88,0
TXFZM8DWZFSJWRGQ,2024-01-13 23:55:54,42.14,pos,fashion,DE,FR,1,0,0,1,23,5,C248030,M89903,79,42,0,0,44.0,58.0,0,0.0,0
TX2CGMMKA8AC2YSI,2024-01-09 21:36:43,61.77,pos,travel,UK,IN,1,0,0,1,21,1,C283784,M14844,18,138,0,0,23.0,42.0,0,0.0,0
TXURHFQCKWQXTKCD,2024-03-15 12:37:47,32.0,ecommerce,travel,UK,FR,1,0,0,0,12,4,C189363,M26219,62,71,0,0,39.0,45.0,0,0.0,0
TXENWWG8AQ60GKC0,2024-02-26 15:12:00,4.91,ecommerce,grocery,ES,UK,1,0,0,0,15,0,C535945,M89712,50,133,0,0,37.0,48.0,0,0.0,0
TXFHRLFMAZXTQIMP,2024-02-08 13:04:04,14.48,ecommerce,restaurants,DE,NG,1,1,0,0,13,3,C280251,M72295,57,168,0,0,71.0,45.0,1,3.45,0
TXZQRQQ0N2AFXDTV,2024-01-12 10:56:47,4.49,mobile,fashion,UK,UK,0,0,1,0,10,4,C677070,M53907,25,54,0,0,39.0,57.0,0,0.0,0
TXYXF4SUXB6MYJI3,2024-03-20 11:50:23,22.05,pos,restaurants,PL,IN,1,0,0,1,11,2,C138808,M92306,48,22,0,0,41.0,45.0,1,13.68,0
TXH20NXBPP7AGNUN,2024-01-20 23:33:36,26.76,ecommerce,restaurants,DE,NL,1,0,0,0,23,5,C902604,M78404,38,176,0,0,28.0,31.0,0,0.0,0
TXCJTP0O1R1SSIRL,2024-03-19 15:49:53,95.9,ecommerce,travel,ES,FR,1,0,0,0,15,1,C249246,M69681,80,14,0,0,47.0,51.0,0,0.0,0
TX645QC931GTUIN9,2024-02-01 10:39:12,43.94,pos,digital_services,FR,NL,1,0,0,1,10,3,C677596,M59098,38,35,0,0,56.0,59.0,1,5.33,0
TXR2BJ3P4BWJ12G5,2024-02-10 17:19:47,13.25,pos,travel,ES,NG,1,1,0,1,17,5,C167580,M88869,82,57,1,0,48.0,64.0,0,0.0,0
TXT0ZYZVCJN9QETA,2024-03-22 00:05:55,9.11,ecommerce,travel,FR,ES,1,0,0,0,0,4,C336467,M37519,72,154,0,0,53.0,39.0,1,6.45,0
TXMPDKVFR3GCVRHO,2024-01-17 12:28:52,34.14,ecommerce,travel,PL,UK,1,0,0,0,12,2,C348018,M45508,43,29,0,0,39.0,31.0,0,0.0,0
TX5NK9803KRX6LIK,2024-03-26 07:17:34,19.82,mobile,grocery,ES,ES,0,0,1,0,7,1,C409019,M37532,36,12,0,0,23.0,68.0,1,33.93,0
TXI5PKB7EAGCCNY8,2024-03-09 08:16:23,20.84,pos,fuel,NL,IN,1,0,0,1,8,5,C704666,M93607,35,86,0,0,45.0,54.0,5,21.65,0
TXZEYT8YI7KIZDQO,2024-02-28 03:48:58,55.35,ecommerce,travel,FR,CN,1,1,0,0,3,2,C834256,M36870,82,11,0,1,48.0,30.0,1,7.45,0
